timestep,mean_reward,std_reward
80000,-112031.333742,76457.02572385456
160000,-80928.35142380002,57679.34915693313
240000,-188594.8156874,82408.82596173481
320000,-306866.25393239997,168927.92504093
400000,-56425.6988932,11409.268079429847
480000,-31750.615720400005,20250.7743723371
