eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/std,train/loss,train/explained_variance
500.0,7907.6124302,330000,,,,,,-0.0004501878527662484,-1.491762201115489,0.2,48921.629095458986,200,0.0030844756,0.0002,0.00360107421875,1.073233962059021,23670.1015625,2.8252601623535156e-05
500.0,7916.8864613999995,340000,,,,,,,,,,,,,,,,
,,344064,21,677,507,500.0,7676.00867124,,,,,,,,,,,
500.0,7881.6560522,350000,,,,,,-0.00016647375196043868,-1.493491175211966,0.2,47327.1510925293,210,0.0014643697,0.0002,0.000823974609375,1.0797640085220337,22332.83984375,4.231929779052734e-06
500.0,7852.3451416,360000,,,,,,,,,,,,,,,,
,,360448,22,675,533,500.0,7664.03365316,,,,,,,,,,,
500.0,7869.256441400001,370000,,,,,,2.1570733224507423e-06,-1.5019179448485374,0.2,45868.490118408205,220,0.00043488058,0.0002,7.32421875e-05,1.0930277109146118,22149.978515625,3.039836883544922e-06
,,376832,23,679,554,500.0,7660.870792940001,,,,,,,,,,,
500.0,7926.319109600001,380000,,,,,,-0.0002899666076700669,-1.5160341953858734,0.2,46735.20612792969,230,0.0014434657,0.0002,0.00404052734375,1.1058940887451172,21926.646484375,4.589557647705078e-06
500.0,7931.7772982,390000,,,,,,,,,,,,,,,,
,,393216,24,677,580,500.0,7651.721580740001,,,,,,,,,,,
500.0,7858.8346414,400000,,,,,,-0.0012915160776174161,-1.5151025023311377,0.2,45380.049816894534,240,0.0039617186,0.0002,0.013037109375,1.0993739366531372,21551.982421875,3.170967102050781e-05
,,409600,25,678,603,500.0,7685.621253400001,,,,,,,,,,,
500.0,7919.6529834,410000,,,,,,-0.00019107663501927163,-1.5177074944600464,0.2,46000.19678344727,250,0.0018415157,0.0002,0.0023193359375,1.104346513748169,22136.189453125,1.1920928955078125e-07
500.0,7923.6679814,420000,,,,,,,,,,,,,,,,
,,425984,26,677,628,500.0,7706.2851169,,,,,,,,,,,
500.0,7896.8178,430000,,,,,,-0.0005816039614728652,-1.516090212762356,0.2,45575.18129272461,260,0.0031266646,0.0002,0.006298828125,1.0980297327041626,21707.326171875,7.152557373046875e-07
500.0,7865.025711199999,440000,,,,,,,,,,,,,,,,
,,442368,27,676,654,500.0,7699.83191428,,,,,,,,,,,
500.0,7933.1495278,450000,,,,,,-0.0024087021094601367,-1.5112647466361522,0.2,42956.19700317383,270,0.004521634,0.0002,0.028369140625,1.0966763496398926,20818.484375,7.271766662597656e-06
,,458752,28,677,677,500.0,7700.46786947,,,,,,,,,,,
500.0,7927.1903482,460000,,,,,,-1.6228670574491843e-06,-1.519129210524261,0.2,44951.23500976562,280,0.00022114732,0.0002,6.103515625e-05,1.1135978698730469,21493.205078125,3.5762786865234375e-07
500.0,7927.3900838,470000,,,,,,,,,,,,,,,,
,,475136,29,675,703,500.0,7715.35383259,,,,,,,,,,,
500.0,7907.061976200001,480000,,,,,,-0.0013816702405165416,-1.5266522295773028,0.2,44363.95415649414,290,0.003969993,0.0002,0.019061279296875,1.1124011278152466,21675.75,2.980232238769531e-07
500.0,7896.0679548,490000,,,,,,,,,,,,,,,,
,,491520,30,674,729,500.0,7719.07776577,,,,,,,,,,,
500.0,7922.1581716,500000,,,,,,-0.0015230164382955991,-1.524108162894845,0.2,42743.49140625,300,0.0040255752,0.0002,0.017352294921875,1.1088252067565918,20814.763671875,3.7550926208496094e-06
,,507904,31,677,749,500.0,7759.130362919998,,,,,,,,,,,
500.0,7878.432330600001,510000,,,,,,-0.0004972759088559542,-1.5225250812247395,0.2,43380.25235595703,310,0.0033172779,0.0002,0.0069580078125,1.1055346727371216,20789.87109375,1.1920928955078125e-07
500.0,7878.591699999999,520000,,,,,,,,,,,,,,,,
,,524288,32,677,774,500.0,7721.87135204,,,,,,,,,,,
500.0,7919.7038776,530000,,,,,,-0.0001653468469157815,-1.5303421920165419,0.2,40983.24244995117,320,0.0006298097,0.0002,0.00155029296875,1.1277536153793335,19484.9921875,0.0
500.0,7924.263632600001,540000,,,,,,,,,,,,,,,,
,,540672,33,676,798,500.0,7745.02089411,,,,,,,,,,,
500.0,7926.258186599999,550000,,,,,,-0.00022230814502108843,-1.535688890144229,0.2,41951.620874023436,330,0.0020927994,0.0002,0.001129150390625,1.1216866970062256,19815.642578125,0.0
,,557056,34,679,819,500.0,7754.93695314,,,,,,,,,,,
500.0,7910.7242642,560000,,,,,,-9.152978782367427e-05,-1.5377715768292546,0.2,42220.984771728516,340,0.0012367747,0.0002,0.001568603515625,1.1298012733459473,20276.1015625,0.0
500.0,7943.6861794000015,570000,,,,,,,,,,,,,,,,
,,573440,35,679,844,500.0,7784.77686649,,,,,,,,,,,
500.0,7876.330414999999,580000,,,,,,-0.0004714727943792241,-1.5387167848646641,0.2,40862.46262817383,350,0.0031752696,0.0002,0.005914306640625,1.1256892681121826,19310.328125,5.960464477539063e-08
,,589824,36,681,865,500.0,7763.943526469999,,,,,,,,,,,
500.0,7928.9527524000005,590000,,,,,,-0.0011691015148244332,-1.5377311684191226,0.2,39054.61934204101,360,0.0031841383,0.0002,0.013677978515625,1.1258604526519775,18765.2265625,0.0
500.0,7939.1411872,600000,,,,,,,,,,,,,,,,
,,606208,37,681,890,500.0,7744.916371439999,,,,,,,,,,,
500.0,7919.970812,610000,,,,,,-1.942217641044408e-05,-1.5417201064527035,0.2,40017.3395324707,370,8.503006e-05,0.0002,0.0,1.13625168800354,19137.5546875,5.960464477539063e-08
500.0,7910.937578,620000,,,,,,,,,,,,,,,,
,,622592,38,681,913,500.0,7757.4720545,,,,,,,,,,,
500.0,7891.126442999999,630000,,,,,,-0.00020103298884350808,-1.5449420614168048,0.2,39588.25352783203,380,0.0023980655,0.0002,0.00089111328125,1.1332778930664062,19330.974609375,0.0
,,638976,39,682,936,500.0,7774.204508079999,,,,,,,,,,,
500.0,7932.196867599999,640000,,,,,,-0.0002107127456838498,-1.54715293366462,0.2,38350.15646362305,390,0.0016522446,0.0002,0.00264892578125,1.1379656791687012,18587.60546875,0.0
500.0,7920.987208599999,650000,,,,,,,,,,,,,,,,
,,655360,40,682,960,500.0,7803.399302870001,,,,,,,,,,,
500.0,7917.2402298,660000,,,,,,-0.0004557104301056825,-1.5498854584991932,0.2,39083.27083740234,400,0.003314757,0.0002,0.007269287109375,1.1381696462631226,19170.94140625,0.0
500.0,7905.342254,670000,,,,,,,,,,,,,,,,
,,671744,41,681,985,500.0,7788.47563391,,,,,,,,,,,
500.0,7873.572513199999,680000,,,,,,-4.750760926981456e-05,-1.55477709248662,0.2,37549.48697509766,410,0.0010008827,0.0002,0.000628662109375,1.1521986722946167,17978.53125,5.960464477539063e-08
,,688128,42,683,1006,500.0,7785.04147374,,,,,,,,,,,
500.0,7928.718844,690000,,,,,,-0.0008132531049341197,-1.561749136261642,0.2,36675.98361206055,420,0.0032352745,0.0002,0.011248779296875,1.1517271995544434,17950.7890625,1.1920928955078125e-07
500.0,7931.7262828,700000,,,,,,,,,,,,,,,,
,,704512,43,683,1031,500.0,7780.99167966,,,,,,,,,,,
500.0,7889.8208082,710000,,,,,,-0.0005244827814749442,-1.5671432979404927,0.2,37340.99239501953,430,0.0024906385,0.0002,0.00863037109375,1.1618263721466064,18036.48828125,0.0
500.0,7915.473180600001,720000,,,,,,,,,,,,,,,,
,,720896,44,681,1057,500.0,7773.26697375,,,,,,,,,,,
500.0,7892.1354114000005,730000,,,,,,-0.00010338104766560718,-1.5792894354090095,0.2,35723.65820922852,440,0.0006955917,0.0002,0.00111083984375,1.1846508979797363,17556.41796875,0.0
