time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_reward,eval/mean_ep_length
128,500.0,5196.158182409999,131,64000,486,,,,,,,,
132,500.0,4828.024531500001,140,68000,482,2944.470223388672,-562.1137664794921,7200,-0.016246788501739502,0.0003,1.2090018439292907,,
136,500.0,4828.024531500001,140,68000,482,,,,,,,,
140,500.0,4335.013568440001,150,72000,479,2192.49705078125,-609.5279077148438,7700,-0.015829872470349074,0.0003,1.2992732858657836,,
144,500.0,4335.013568440001,150,72000,479,,,,,,,,
148,500.0,3810.5298712100002,159,76000,476,2105.553952636719,-669.0200598144531,8200,0.001030750432983041,0.0003,1.3224019742012023,,
152,500.0,3810.5298712100002,159,76000,476,,,,,,,,
,,,,80000,,2107.7246350097657,-722.2899255371094,8700,0.012324137105606496,0.0003,1.289603235721588,3163.6075208,500.0
156,500.0,3284.3256650000003,173,80000,461,,,,,,,,
160,500.0,3284.3256650000003,173,80000,461,,,,,,,,
164,500.0,2847.26614676,182,84000,459,1709.2929052734376,-761.0210583496093,9200,0.009698586743324996,0.0003,1.2098746967315674,,
168,500.0,2847.26614676,182,84000,459,,,,,,,,
172,500.0,2385.51393763,192,88000,457,1688.4359606933594,-814.7003942871094,9700,0.0053659859276376665,0.0003,1.1339310002326966,,
176,500.0,2385.51393763,192,88000,457,,,,,,,,
180,500.0,2149.1659185,201,92000,456,1550.9928259277344,-856.9167126464844,10200,0.004468239170964807,0.0003,1.0761808967590332,,
184,500.0,2149.1659185,201,92000,456,,,,,,,,
188,500.0,2071.2303409600004,210,96000,455,1631.82169921875,-894.008681640625,10700,-0.00012929182266816497,0.0003,1.041834602355957,,
192,500.0,2071.2303409600004,210,96000,455,,,,,,,,
196,500.0,2232.4213773099996,219,100000,455,1340.5315802001953,-946.7027282714844,11200,-0.00042548165307380257,0.0003,1.0275355792045593,,
200,500.0,2232.4213773099996,219,100000,455,,,,,,,,
204,500.0,2565.9401608700005,228,104000,454,1213.5667974853516,-980.635576171875,11700,-0.001406655564205721,0.0003,1.0388532066345215,,
208,500.0,2565.9401608700005,229,104000,454,,,,,,,,
212,500.0,3136.79291209,238,108000,453,1033.960908203125,-1027.6173608398437,12200,-0.0017045088554732502,0.0003,1.031653847694397,,
216,500.0,3136.79291209,238,108000,453,,,,,,,,
220,500.0,3431.68451085,247,112000,452,1095.5923754882813,-1057.387852783203,12700,9.323614067398011e-05,0.0003,1.0391466045379638,,
224,500.0,3431.68451085,247,112000,452,,,,,,,,
228,500.0,3792.30770273,256,116000,452,891.456025390625,-1094.3522045898437,13200,-0.0002311777533032,0.0003,1.0567007756233215,,
232,500.0,3792.30770273,256,116000,452,,,,,,,,
