train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,,,48432,110000,1187.1977996826172,,1562.1431350708008,,,0.10000000149011612,-7784.5418008,500.0
0.0003,500.0,212,48560,112000,1583.5350646972656,703,1562.5839614868164,-6653.619269730002,159,0.10000000149011612,,
,500.0,216,,112000,,703,,-6653.619269730002,159,,,
,500.0,220,,112000,,703,,-6653.619269730002,159,,,
,500.0,224,,112000,,703,,-6653.619269730002,159,,,
0.0003,,,49056,120000,1241.2054653167725,,1562.614402770996,,,0.10000000149011612,-7040.483154,500.0
,500.0,228,,120000,,701,,-6596.17890927,171,,,
,500.0,232,,120000,,701,,-6596.17890927,171,,,
,500.0,236,,120000,,701,,-6596.17890927,171,,,
,500.0,240,,120000,,701,,-6596.17890927,171,,,
0.0003,500.0,244,49552,128000,1101.5857620239258,713,1560.0061111450195,-6798.46597357,179,0.10000000149011612,,
,500.0,248,,128000,,713,,-6798.46597357,179,,,
,500.0,252,,128000,,713,,-6798.46597357,179,,,
,500.0,256,,128000,,713,,-6798.46597357,179,,,
0.0003,,,49680,130000,1305.395866394043,,1557.8720703125,,,0.10000000149011612,-7798.6176124,500.0
0.0003,500.0,260,50064,136000,1077.5366325378418,707,1560.2788772583008,-6812.696504920001,192,0.10000000149011612,,
,500.0,264,,136000,,707,,-6812.696504920001,192,,,
,500.0,268,,136000,,707,,-6812.696504920001,192,,,
,500.0,272,,136000,,707,,-6812.696504920001,192,,,
0.0003,,,50304,140000,1063.5937728881836,,1563.4528350830078,,,0.10000000149011612,-7015.304433200001,500.0
0.0003,500.0,276,50560,144000,1031.3146896362305,703,1561.1044082641602,-6854.3456009599995,204,0.10000000149011612,,
,500.0,280,,144000,,703,,-6854.3456009599995,204,,,
,500.0,284,,144000,,703,,-6854.3456009599995,204,,,
,500.0,288,,144000,,703,,-6854.3456009599995,204,,,
0.0003,,,50928,150000,899.1091499328613,,1565.2317657470703,,,0.10000000149011612,-7026.045542,500.0
0.0003,500.0,292,51056,152000,856.7539215087891,700,1561.5533142089844,-6964.417701369999,217,0.10000000149011612,,
,500.0,296,,152000,,700,,-6964.417701369999,217,,,
,500.0,300,,152000,,700,,-6964.417701369999,217,,,
,500.0,304,,152000,,700,,-6964.417701369999,217,,,
0.0003,,,51552,160000,974.559497833252,,1566.7486724853516,,,0.10000000149011612,-6753.357720799999,500.0
,500.0,308,,160000,,698,,-7005.51509547,228,,,
,500.0,312,,160000,,698,,-7005.51509547,228,,,
,500.0,316,,160000,,698,,-7005.51509547,228,,,
,500.0,320,,160000,,698,,-7005.51509547,228,,,
0.0003,500.0,324,52064,168000,1004.5986518859863,707,1565.5579299926758,-7054.663966869998,237,0.10000000149011612,,
,500.0,328,,168000,,707,,-7054.663966869998,237,,,
,500.0,332,,168000,,707,,-7054.663966869998,237,,,
,500.0,336,,168000,,707,,-7054.663966869998,237,,,
0.0003,,,52192,170000,894.1828575134277,,1561.395263671875,,,0.10000000149011612,-7011.5802046,500.0
0.0003,500.0,340,52560,176000,692.8015556335449,705,1565.574722290039,-6938.81797302,249,0.10000000149011612,,
,500.0,344,,176000,,705,,-6938.81797302,249,,,
,500.0,348,,176000,,705,,-6938.81797302,249,,,
,500.0,352,,176000,,705,,-6938.81797302,249,,,
0.0003,,,52816,180000,666.6932754516602,,1564.6720962524414,,,0.10000000149011612,-7738.6094276,500.0
0.0003,500.0,356,53056,184000,801.505256652832,704,1562.969581604004,-7006.701209959999,261,0.10000000149011612,,
,500.0,360,,184000,,704,,-7006.701209959999,261,,,
,500.0,364,,184000,,704,,-7006.701209959999,261,,,
,500.0,368,,184000,,704,,-7006.701209959999,261,,,
0.0003,,,53440,190000,772.5500402450562,,1567.260238647461,,,0.10000000149011612,-7740.291885000001,500.0
0.0003,500.0,372,53552,192000,631.3052749633789,702,1567.8286056518555,-7021.592381650001,273,0.10000000149011612,,
,500.0,376,,192000,,702,,-7021.592381650001,273,,,
,500.0,380,,192000,,702,,-7021.592381650001,273,,,
,500.0,384,,192000,,702,,-7021.592381650001,273,,,
0.0003,,,54064,200000,616.6862564086914,,1566.183494567871,,,0.10000000149011612,-6906.8903584,500.0
,500.0,388,,200000,,701,,-6935.734615990002,285,,,
,500.0,392,,200000,,701,,-6935.734615990002,285,,,
,500.0,396,,200000,,701,,-6935.734615990002,285,,,
,500.0,400,,200000,,701,,-6935.734615990002,285,,,
0.0003,500.0,404,54560,208000,625.7442989349365,708,1562.915641784668,-7017.159487909999,293,0.10000000149011612,,
,500.0,408,,208000,,708,,-7017.159487909999,293,,,
,500.0,412,,208000,,708,,-7017.159487909999,293,,,
,500.0,416,,208000,,708,,-7017.159487909999,293,,,
0.0003,,,54688,210000,629.273265838623,,1565.8755569458008,,,0.10000000149011612,-7753.5981421999995,500.0
0.0003,500.0,420,55056,216000,591.4051380157471,707,1566.9583053588867,-6896.150559840001,305,0.10000000149011612,,
,500.0,424,,216000,,707,,-6896.150559840001,305,,,
,500.0,428,,216000,,707,,-6896.150559840001,305,,,
,500.0,432,,216000,,707,,-6896.150559840001,305,,,
0.0003,,,55312,220000,534.6701431274414,,1566.8147583007812,,,0.10000000149011612,-6602.5385826,500.0
0.0003,500.0,436,55552,224000,636.8510961532593,706,1567.1290283203125,-7101.0649847899995,317,0.10000000149011612,,
,500.0,440,,224000,,706,,-7101.0649847899995,317,,,
,500.0,444,,224000,,706,,-7101.0649847899995,317,,,
,500.0,448,,224000,,706,,-7101.0649847899995,317,,,
0.0003,,,55936,230000,681.7494468688965,,1569.5970840454102,,,0.10000000149011612,-7734.4375064,500.0
0.0003,500.0,452,56064,232000,586.6964721679688,704,1565.470848083496,-7125.119539800001,329,0.10000000149011612,,
,500.0,456,,232000,,703,,-7125.119539800001,329,,,
,500.0,460,,232000,,703,,-7125.119539800001,329,,,
,500.0,464,,232000,,703,,-7125.119539800001,329,,,
0.0003,,,56560,240000,511.8298978805542,,1566.4032440185547,,,0.10000000149011612,-6864.5993464,500.0
,500.0,468,,240000,,703,,-7150.46781689,341,,,
,500.0,472,,240000,,703,,-7150.46781689,341,,,
,500.0,476,,240000,,703,,-7150.46781689,341,,,
,500.0,480,,240000,,703,,-7150.46781689,341,,,
0.0003,500.0,484,57056,248000,498.98384857177734,709,1565.6629486083984,-7234.458623909999,349,0.10000000149011612,,
,500.0,488,,248000,,709,,-7234.458623909999,349,,,
,500.0,492,,248000,,709,,-7234.458623909999,349,,,
,500.0,496,,248000,,709,,-7234.458623909999,349,,,
0.0003,,,57184,250000,521.2809810638428,,1566.0608367919922,,,0.10000000149011612,-6855.4624498,500.0
0.0003,500.0,500,57552,256000,465.40406608581543,708,1565.8247299194336,-7182.798638459999,361,0.10000000149011612,,
,500.0,504,,256000,,708,,-7182.798638459999,361,,,
,500.0,508,,256000,,708,,-7182.798638459999,361,,,
,500.0,512,,256000,,708,,-7182.798638459999,361,,,
0.0003,,,57808,260000,425.68385219573975,,1563.5157623291016,,,0.10000000149011612,-7732.98088,500.0
0.0003,500.0,516,58064,264000,495.3999881744385,706,1564.1679916381836,-7163.387562399999,373,0.10000000149011612,,
,500.0,520,,264000,,706,,-7163.387562399999,373,,,
,500.0,524,,264000,,706,,-7163.387562399999,373,,,
,500.0,528,,264000,,706,,-7163.387562399999,373,,,
0.0003,,,58432,270000,587.6549034118652,,1564.611099243164,,,0.10000000149011612,-7724.1649425999985,500.0
0.0003,500.0,532,58560,272000,400.2401714324951,705,1565.2163467407227,-7000.2924586300005,385,0.10000000149011612,,
,500.0,536,,272000,,705,,-7000.2924586300005,385,,,
,500.0,540,,272000,,705,,-7000.2924586300005,385,,,
,500.0,544,,272000,,705,,-7000.2924586300005,385,,,
0.0003,,,59056,280000,494.4641418457031,,1567.559944152832,,,0.10000000149011612,-4930.0333916,500.0
,500.0,548,,280000,,704,,-6908.12475459,397,,,
,500.0,552,,280000,,704,,-6908.12475459,397,,,
,500.0,556,,280000,,704,,-6908.12475459,397,,,
,500.0,560,,280000,,704,,-6908.12475459,397,,,
0.0003,500.0,564,59552,288000,417.28068256378174,709,1567.0093994140625,-6860.481098000001,405,0.10000000149011612,,
,500.0,568,,288000,,709,,-6860.481098000001,405,,,
,500.0,572,,288000,,709,,-6860.481098000001,405,,,
,500.0,576,,288000,,709,,-6860.481098000001,405,,,
0.0003,,,59680,290000,338.4148054122925,,1564.568748474121,,,0.10000000149011612,-6789.5288212,500.0
0.0003,500.0,580,60064,296000,406.0615758895874,708,1565.4241180419922,-6773.123260379999,417,0.10000000149011612,,
,500.0,584,,296000,,708,,-6773.123260379999,417,,,
,500.0,588,,296000,,708,,-6773.123260379999,417,,,
,500.0,592,,296000,,708,,-6773.123260379999,417,,,
0.0003,,,60304,300000,402.15210914611816,,1568.6470642089844,,,0.10000000149011612,-6948.9326948,500.0
0.0003,500.0,596,60560,304000,421.468843460083,707,1563.6685409545898,-6658.13050628,429,0.10000000149011612,,
,500.0,600,,304000,,707,,-6658.13050628,429,,,
