time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss
,,130000,,,,500.0,-3980.2010194000004,1113.650276184082,1.1260176226496696,0.008505800418788567,0.0003,87488,516.6233940124512
260,584,136000,500.0,-4303.0123488300005,232,,,1105.0075454711914,1.0863397270441055,-0.0028004129271721467,0.0003,87872,518.0297679901123
264,584,136000,500.0,-4303.0123488300005,232,,,,,,,,
268,584,136000,500.0,-4303.0123488300005,232,,,,,,,,
272,584,136000,500.0,-4303.0123488300005,232,,,,,,,,
,,140000,,,,500.0,-3824.4131488,1101.5471801757812,1.0890789106488228,-0.005992599959427025,0.0003,88112,514.8783130645752
276,581,144000,500.0,-4231.33283023,247,,,1097.1087646484375,1.0645058006048203,-0.0048690018338675145,0.0003,88368,492.32991218566895
280,581,144000,500.0,-4231.33283023,247,,,,,,,,
284,581,144000,500.0,-4231.33283023,247,,,,,,,,
288,581,144000,500.0,-4231.33283023,247,,,,,,,,
,,150000,,,,500.0,-3959.8768648000005,1088.5318145751953,1.0522239431738853,5.0607463890628424e-05,0.0003,88736,479.0372848510742
292,580,152000,500.0,-4256.770072449999,261,,,1086.7897262573242,1.046863615512848,0.003922419202353922,0.0003,88864,469.1590404510498
296,580,152000,500.0,-4256.770072449999,261,,,,,,,,
300,580,152000,500.0,-4256.770072449999,261,,,,,,,,
304,580,152000,500.0,-4256.770072449999,261,,,,,,,,
,,160000,,,,500.0,-3855.4483392,1079.8468780517578,1.0613024085760117,-0.010634621692588553,0.0003,89360,448.1955032348633
308,580,160000,500.0,-4275.5938566800005,275,,,,,,,,
312,580,160000,500.0,-4275.5938566800005,275,,,,,,,,
316,580,160000,500.0,-4275.5938566800005,275,,,,,,,,
320,580,160000,500.0,-4275.5938566800005,275,,,,,,,,
324,588,168000,500.0,-4267.0143753,285,,,1077.716812133789,1.0465712547302246,-0.01241862669121474,0.0003,89872,432.49860191345215
328,588,168000,500.0,-4267.0143753,285,,,,,,,,
332,588,168000,500.0,-4267.0143753,285,,,,,,,,
336,588,168000,500.0,-4267.0143753,285,,,,,,,,
,,170000,,,,500.0,-3717.6400728,1067.5240173339844,1.0548428818583488,-0.0010150024136237334,0.0003,90000,412.93743324279785
340,587,176000,500.0,-4276.7384208,299,,,1065.2398071289062,1.0288042724132538,-0.00012095843339920975,0.0003,90368,414.85370445251465
344,587,176000,500.0,-4276.7384208,299,,,,,,,,
348,587,176000,500.0,-4276.7384208,299,,,,,,,,
352,587,176000,500.0,-4276.7384208,299,,,,,,,,
,,180000,,,,500.0,-3815.5566114000003,1063.2046661376953,1.0234872698783875,0.0016475619413540699,0.0003,90624,429.5438976287842
356,586,184000,500.0,-4293.02421035,313,,,1064.7750854492188,1.0018389075994492,0.0002479067668730295,0.0003,90864,430.6601028442383
360,586,184000,500.0,-4293.02421035,313,,,,,,,,
364,586,184000,500.0,-4293.02421035,313,,,,,,,,
368,586,184000,500.0,-4293.02421035,313,,,,,,,,
,,190000,,,,500.0,-4117.6476356,1058.3191604614258,0.997955922037363,-0.00030285040293165366,0.0003,91248,413.4691677093506
372,586,192000,500.0,-4291.071414759999,327,,,1055.0998611450195,0.9903593733906746,-0.0020809883390029427,0.0003,91360,397.1914463043213
376,586,192000,500.0,-4291.071414759999,327,,,,,,,,
380,586,192000,500.0,-4291.071414759999,327,,,,,,,,
384,586,192000,500.0,-4291.071414759999,327,,,,,,,,
,,200000,,,,500.0,-3716.5232081999993,1051.1853637695312,1.0172314047813416,0.0014971423115639482,0.0003,91872,370.37742042541504
388,585,200000,500.0,-4308.168087859999,341,,,,,,,,
392,585,200000,500.0,-4308.168087859999,341,,,,,,,,
396,585,200000,500.0,-4308.168087859999,341,,,,,,,,
400,585,200000,500.0,-4308.168087859999,341,,,,,,,,
404,592,208000,500.0,-4275.65275114,351,,,1047.4278106689453,1.013169951736927,0.002169069011870306,0.0003,92368,359.921781539917
408,592,208000,500.0,-4275.65275114,351,,,,,,,,
412,592,208000,500.0,-4275.65275114,351,,,,,,,,
416,592,208000,500.0,-4275.65275114,351,,,,,,,,
,,210000,,,,500.0,-3754.4785616,1045.5286102294922,1.0165832415223122,-0.001115060797019396,0.0003,92496,398.79902839660645
420,589,216000,500.0,-4253.59066941,366,,,1046.114589691162,1.0163156986236572,-0.0005023683115723543,0.0003,92864,402.45483207702637
424,589,216000,500.0,-4253.59066941,366,,,,,,,,
428,589,216000,500.0,-4253.59066941,366,,,,,,,,
432,589,216000,500.0,-4253.59066941,366,,,,,,,,
,,220000,,,,500.0,-3960.6850277999997,1044.5363731384277,1.0342240408062935,0.006839790148660541,0.0003,93120,362.8597764968872
436,588,224000,500.0,-4222.00759148,380,,,1041.313247680664,1.0391608774662018,-0.006499566432466963,0.0003,93360,383.00398445129395
440,588,224000,500.0,-4222.00759148,380,,,,,,,,
444,588,224000,500.0,-4222.00759148,380,,,,,,,,
448,588,224000,500.0,-4222.00759148,380,,,,,,,,
,,230000,,,,500.0,-3625.0500746000007,1036.6852798461914,1.042871318757534,-0.0017312138625129592,0.0003,93744,356.18757247924805
452,584,232000,500.0,-4140.46789803,397,,,1039.0487594604492,1.0325448215007782,-0.0012792931192961987,0.0003,93872,343.6652135848999
456,584,232000,500.0,-4140.46789803,397,,,,,,,,
460,584,232000,500.0,-4140.46789803,397,,,,,,,,
464,584,232000,500.0,-4140.46789803,397,,,,,,,,
,,240000,,,,500.0,-3812.7599333999997,1036.1246337890625,1.0691257789731026,0.0013927912805229425,0.0003,94368,389.6388759613037
468,582,240000,500.0,-4105.81892267,412,,,,,,,,
472,582,240000,500.0,-4105.81892267,412,,,,,,,,
476,582,240000,500.0,-4105.81892267,412,,,,,,,,
480,582,240000,500.0,-4105.81892267,412,,,,,,,,
484,587,248000,500.0,-4126.523438880001,422,,,1033.142665863037,1.0620862543582916,0.004873605350439902,0.0003,94864,326.26700592041016
488,587,248000,500.0,-4126.523438880001,422,,,,,,,,
492,587,248000,500.0,-4126.523438880001,422,,,,,,,,
496,587,248000,500.0,-4126.523438880001,422,,,,,,,,
,,250000,,,,500.0,-3846.8411590000005,1031.038875579834,1.0728841200470924,0.0022864144593768287,0.0003,94992,335.59059143066406
500,585,256000,500.0,-4093.0155115199996,437,,,1029.3759880065918,1.0414324402809143,-0.010848372698092135,0.0003,95360,346.00715255737305
504,585,256000,500.0,-4093.0155115199996,437,,,,,,,,
508,585,256000,500.0,-4093.0155115199996,437,,,,,,,,
512,585,256000,500.0,-4093.0155115199996,437,,,,,,,,
,,260000,,,,500.0,-3737.4621886,1024.762596130371,1.039776623249054,0.0031437058896699455,0.0003,95616,324.6919193267822
516,583,264000,500.0,-4093.30707907,452,,,1024.3007621765137,1.0218699872493744,0.0002417197247268632,0.0003,95872,302.44588565826416
520,583,264000,500.0,-4093.30707907,452,,,,,,,,
524,583,264000,500.0,-4093.30707907,452,,,,,,,,
528,583,264000,500.0,-4093.30707907,452,,,,,,,,
,,270000,,,,500.0,-3744.9846462,1027.4239501953125,0.9996173903346062,0.00017471970500082534,0.0003,96240,336.800892829895
532,584,272000,500.0,-4116.064831889999,465,,,1029.5343780517578,0.9908586926758289,0.001404838547387044,0.0003,96368,363.52685737609863
536,584,272000,500.0,-4116.064831889999,465,,,,,,,,
540,584,272000,500.0,-4116.064831889999,465,,,,,,,,
544,584,272000,500.0,-4116.064831889999,465,,,,,,,,
,,280000,,,,500.0,-3972.8158577999993,1023.5082130432129,0.9642778597772121,-0.00529316216125153,0.0003,96864,295.54184913635254
548,585,280000,500.0,-4190.9461934,478,,,,,,,,
552,585,280000,500.0,-4190.9461934,478,,,,,,,,
556,585,280000,500.0,-4190.9461934,478,,,,,,,,
560,585,280000,500.0,-4190.9461934,478,,,,,,,,
564,591,288000,500.0,-4258.957034499999,487,,,1020.7042503356934,0.9515275992453098,-0.013539481704356149,0.0003,97360,294.1200141906738
568,591,288000,500.0,-4258.957034499999,487,,,,,,,,
572,591,288000,500.0,-4258.957034499999,487,,,,,,,,
576,591,288000,500.0,-4258.957034499999,487,,,,,,,,
,,290000,,,,500.0,-3894.7136788000003,1016.7590713500977,0.9508300982415676,-0.001192485033243429,0.0003,97488,271.9678964614868
580,591,296000,500.0,-4267.10738943,500,,,1020.8188705444336,0.9442210458219051,-0.0027869739060406573,0.0003,97872,327.8227195739746
584,591,296000,500.0,-4267.10738943,500,,,,,,,,
588,591,296000,500.0,-4267.10738943,500,,,,,,,,
592,591,296000,500.0,-4267.10738943,500,,,,,,,,
,,300000,,,,500.0,-3731.7426494,1017.35400390625,0.9315212331712246,0.01067869162216084,0.0003,98112,289.06956672668457
596,592,304000,500.0,-4335.84635139,512,,,1016.6439628601074,0.9237625189125538,-0.011551382718607783,0.0003,98368,279.4086866378784
600,592,304000,500.0,-4335.84635139,512,,,,,,,,
604,592,304000,500.0,-4335.84635139,512,,,,,,,,
608,592,304000,500.0,-4335.84635139,512,,,,,,,,
,,310000,,,,500.0,-3965.0854892,1017.5373382568359,0.9082876443862915,0.007625099795404822,0.0003,98736,289.78286838531494
612,593,312000,500.0,-4386.11695003,525,,,1015.9993095397949,0.9032237119972706,-0.010705762726502144,0.0003,98864,296.40139865875244
616,593,312000,500.0,-4386.11695003,525,,,,,,,,
620,593,312000,500.0,-4386.11695003,525,,,,,,,,
624,593,312000,500.0,-4386.11695003,525,,,,,,,,
,,320000,,,,500.0,-3871.7571788,1015.1540756225586,0.8877285160124302,-0.0030138801521388814,0.0003,99360,294.1505126953125
628,594,320000,500.0,-4436.51509777,537,,,,,,,,
632,594,320000,500.0,-4436.51509777,537,,,,,,,,
636,594,320000,500.0,-4436.51509777,537,,,,,,,,
640,594,320000,500.0,-4436.51509777,537,,,,,,,,
644,599,328000,500.0,-4443.697555130001,546,,,1012.1671943664551,0.8742963634431362,0.024068412749329582,0.0003,99872,265.19810962677
648,599,328000,500.0,-4443.697555130001,546,,,,,,,,
652,599,328000,500.0,-4443.697555130001,546,,,,,,,,
656,599,328000,500.0,-4443.697555130001,546,,,,,,,,
,,330000,,,,500.0,-3844.3867576,1012.5978851318359,0.8704090490937233,-0.006797099820687436,0.0003,100000,266.59495067596436
660,600,336000,500.0,-4400.50231096,559,,,1009.2564353942871,0.8610037751495838,0.005376240471377969,0.0003,100368,269.03875827789307
664,600,336000,500.0,-4400.50231096,559,,,,,,,,
668,600,336000,500.0,-4400.50231096,559,,,,,,,,
672,600,336000,500.0,-4400.50231096,559,,,,,,,,
,,340000,,,,500.0,-3889.9465216000003,1013.0288314819336,0.8576840907335281,-0.023432625806890428,0.0003,100624,257.4571542739868
676,601,344000,500.0,-4385.26788173,571,,,1011.7922134399414,0.8405689112842083,0.004085824781213887,0.0003,100864,291.33687686920166
680,601,344000,500.0,-4385.26788173,571,,,,,,,,
684,601,344000,500.0,-4385.26788173,571,,,,,,,,
688,601,344000,500.0,-4385.26788173,571,,,,,,,,
,,350000,,,,500.0,-3811.06391,1006.5269546508789,0.821432925760746,0.011187988275196403,0.0003,101248,227.1062469482422
692,602,352000,500.0,-4396.817631229999,584,,,1009.5103149414062,0.8207556754350662,-0.037194079312030226,0.0003,101360,251.27010345458984
696,602,352000,500.0,-4396.817631229999,584,,,,,,,,
700,602,352000,500.0,-4396.817631229999,584,,,,,,,,
704,602,352000,500.0,-4396.817631229999,584,,,,,,,,
,,360000,,,,500.0,-3877.0853242,1005.509693145752,0.8221524879336357,0.00930549277109094,0.0003,101872,254.6120147705078
708,602,360000,500.0,-4385.497418790001,597,,,,,,,,
712,602,360000,500.0,-4385.497418790001,597,,,,,,,,
716,602,360000,500.0,-4385.497418790001,597,,,,,,,,
720,602,360000,500.0,-4385.497418790001,597,,,,,,,,
724,607,368000,500.0,-4287.06191362,605,,,1005.8259239196777,0.8317300565540791,-0.020872250897809863,0.0003,102368,259.4577388763428
728,607,368000,500.0,-4287.06191362,605,,,,,,,,
732,607,368000,500.0,-4287.06191362,605,,,,,,,,
736,607,368000,500.0,-4287.06191362,605,,,,,,,,
