time,dt,theta,alpha,th_dot,al_dot,voltage,mode
0.0,0.02,14.94,-7.91,0.00024543692606182605,31.415899265128353,0.17402751445770262,PPO
0.020490407943725586,0.020490407943725586,14.94,-7.91,0.00019634954084946085,25.132719412102684,0.3156108748912811,PPO
0.04183506965637207,0.021344661712646484,14.94,-7.91,0.0001570796326795687,20.106175529682147,0.42642308753728864,PPO
0.06290888786315918,0.02107381820678711,14.94,-7.91,0.00012566370614365495,16.084940423745717,0.50752681851089,PPO
0.08368277549743652,0.020773887634277344,15.29,-7.55,0.059173952941243925,12.92702576097291,0.5592789501522482,PPO
0.1049034595489502,0.021220684051513672,15.64,-7.03,0.10516880758636757,10.428365076628378,0.5825243704506085,PPO
0.12592005729675293,0.021016597747802734,16.52,-6.32,0.23011307793640878,8.459474486796559,0.5776520913879153,PPO
0.1468067169189453,0.020886659622192383,17.4,-5.44,0.33097663904113944,6.9144657661292666,0.5459752618406281,PPO
0.1680147647857666,0.02120804786682129,18.63,-4.57,0.46730566581055744,5.67623286617316,0.4854945921166693,PPO
0.18929553031921387,0.021280765533447266,19.86,-3.69,0.5756768492222577,4.685152233348392,0.3903826187823575,PPO
0.2104029655456543,0.02110743522644043,21.09,-3.16,0.6640312051545996,3.8353316691544745,0.2424606913485336,PPO
0.23150086402893066,0.021097898483276367,22.14,-2.98,0.7057235708850966,3.0973484364504857,0.016394733293302488,PPO
0.25249338150024414,0.020992517471313477,23.02,-3.16,0.7107243383047314,2.448649652841055,-0.3008804986199433,PPO
0.2734191417694092,0.02092576026916504,23.55,-4.04,0.6565464989278296,1.8123080084661054,-0.6876651494624804,PPO
0.29451608657836914,0.02109694480895996,23.73,-5.44,0.5543216149527301,1.2171710802891609,-1.0906151375754876,PPO
0.3158853054046631,0.021369218826293945,23.37,-7.73,0.38602961338001207,0.6004569534472032,-1.4665036127315534,PPO
0.3372917175292969,0.02140641212463379,22.32,-10.54,0.1368399939737703,0.0217423714771256,-1.769774621381818,PPO
0.3584115505218506,0.02111983299255371,20.56,-13.88,-0.18105696656542214,-0.5346111301327399,-1.9622853177848356,PPO
0.3794059753417969,0.02099442481994629,18.1,-17.75,-0.5540157451352161,-1.0706706027792863,-2.0170893153899376,PPO
0.4002525806427002,0.02084660530090332,15.11,-21.62,-0.9435851607084322,-1.5040774481767059,-1.9454461434632981,PPO
0.4208219051361084,0.020569324493408203,11.77,-25.31,-1.3216467795461184,-1.829701520150142,-1.773523383764215,PPO
0.4413425922393799,0.020520687103271484,8.08,-28.3,-1.6852417496301086,-1.972080908590812,-1.5032515089411234,PPO
0.462385892868042,0.02104330062866211,4.39,-30.41,-1.9605231309387734,-1.9275674304353223,-1.1522944168839744,PPO
0.48317432403564453,0.02078843116760254,0.7000000000000001,-31.46,-2.1882554955442695,-1.7191502274320454,-0.7448282050197133,PPO
0.5041141510009766,0.02093982696533203,-2.2800000000000002,-30.93,-2.2487493608084277,-1.2874122470562805,-0.3255551652152426,PPO
0.5247397422790527,0.020625591278076172,-5.09,-29.0,-2.2749847299960906,-0.7026899442173475,0.08658557368981601,PPO
0.5452501773834229,0.020510435104370117,-7.2,-25.31,-2.178981035206947,0.06608623424374938,0.4519476378820101,PPO
0.5663549900054932,0.021104812622070312,-8.26,-19.68,-1.9176262675117457,0.9832233305746647,0.7260415834320084,PPO
0.587181806564331,0.02082681655883789,-8.43,-12.65,-1.563562660892433,1.9650445397811906,0.8841797590069593,PPO
0.608290433883667,0.021108627319335938,-7.55,-4.21,-1.1055085331019492,2.9673149497001217,0.9455112504800884,PPO
0.6297469139099121,0.021456480026245117,-6.32,4.39,-0.6842273841487042,3.7751080560900903,0.9630445783003786,PPO
0.6507511138916016,0.021004199981689453,-5.09,12.3,-0.3428920333973613,4.334664205796656,0.9650321138863688,PPO
0.6714046001434326,0.020653486251831055,-4.21,18.45,-0.12576913701948333,4.507542792526167,0.9632867359141694,PPO
0.6923322677612305,0.02092766761779785,-3.86,23.2,-0.041975968972348454,4.397665332704648,0.9625844027168708,PPO
0.713238000869751,0.020905733108520508,-3.86,25.83,-0.03358077517787877,3.9583887584635566,0.9659140662086093,PPO
0.7343380451202393,0.02110004425048828,-4.04,26.71,-0.05594476366570145,3.31211172438784,0.9774685852102708,PPO
0.754565954208374,0.020227909088134766,-4.39,25.48,-0.10542370423589585,2.437351752948601,1.007318642687443,PPO
0.775432825088501,0.020866870880126953,-5.09,22.5,-0.2019593423480987,1.449994791781506,1.0726332355627384,PPO
0.7966952323913574,0.021262407302856445,-6.15,17.4,-0.3347159719994301,0.3231114258406069,1.166732106181544,PPO
0.8180062770843506,0.021311044692993164,-7.38,10.89,-0.4693183267716123,-0.8068230478084453,1.1680583641297397,PPO
0.8391151428222656,0.02110886573791504,-8.61,3.33,-0.5789305970458439,-1.895382042822162,1.0338077190083028,PPO
0.8597290515899658,0.020613908767700195,-9.49,-4.04,-0.6119741639588758,-2.766474999364209,0.8486151169913507,PPO
0.8805375099182129,0.02080845832824707,-9.66,-11.07,-0.519066970543119,-3.3926855745320994,0.6530860975882284,PPO
0.90144944190979,0.02091193199157715,-9.66,-11.07,-0.41525357643449523,-2.7141484596256795,0.5185238553261501,PPO
0.9515969753265381,0.05014753341674805,-1.9300000000000002,-24.6,0.20616981697440662,-3.1134709544140486,0.28398178301248755,PPO
0.971928596496582,0.020331621170043945,1.9300000000000002,-24.78,0.8288785279237995,-2.5209559760014364,0.030144694841849146,PPO
0.993093729019165,0.021165132522583008,6.85,-23.73,1.4748428294468452,-1.8428204935637609,-0.2763938517496931,PPO
1.0142297744750977,0.021136045455932617,12.65,-21.26,2.1378844288131984,-1.067827839894035,-0.6502676516231949,PPO
1.0352537631988525,0.021023988723754883,18.45,-18.1,2.673423851099742,-0.3289261038883964,-1.0365184737283484,PPO
1.055612564086914,0.020358800888061523,24.08,-14.58,3.103184589870955,0.3396375600087523,-1.3942952736300946,PPO
1.0769071578979492,0.021294593811035156,29.35,-11.25,3.346981603718865,0.8191848714943314,-1.7137424604565217,PPO
1.0977857112884521,0.02087855339050293,33.39,-8.78,3.3535240314406507,1.0667888745223277,-1.9971680589516727,PPO
1.1180143356323242,0.02022862434387207,36.03,-7.91,3.1378123364414754,1.0050954700475123,-2.2523095802267195,PPO
1.138946533203125,0.02093219757080078,37.26,-8.43,2.7154431457574146,0.7161364003504889,-2.4874522255291374,PPO
1.1600379943847656,0.021091461181640625,36.73,-10.89,2.08507858396144,0.16562143460608947,-2.7071065178975817,PPO
1.1806557178497314,0.02061772346496582,34.8,-14.58,1.3406981375875484,-0.4924718815163685,-2.89818266438897,PPO
1.2018818855285645,0.021226167678833008,31.28,-19.51,0.49441145645363194,-1.2033833802760672,-3.0099811722471035,PPO
1.2227139472961426,0.020832061767578125,26.71,-24.96,-0.3702807854796022,-1.875787799217683,-2.972383251208927,PPO
1.243382215499878,0.02066826820373535,21.26,-30.58,-1.216541782306826,-2.4506350434238495,-2.7859875538508456,PPO
1.264024257659912,0.02064204216003418,15.29,-35.5,-1.9838959636653226,-2.792818360002488,-2.474426392890643,PPO
1.2842001914978027,0.020175933837890625,9.31,-39.72,-2.6211278299924037,-2.96414484733857,-2.033481561194843,PPO
1.3053419589996338,0.021141767501831055,2.81,-42.71,-3.1707441581847107,-2.8647026941206786,-1.4925064370963357,PPO
1.3261089324951172,0.0207669734954834,-3.16,-44.29,-3.541177853692709,-2.5576810595407857,-0.9323813822908574,PPO
