time,dt,theta,alpha,th_dot,al_dot,voltage,mode
4.792213439941406e-05,4.792213439941406e-05,-23.55,175.95999999999998,0.0,-26222.4768822334,-0.7607692867517472,PPO
0.04616713523864746,0.04611921310424805,-23.55,175.95999999999998,0.0,-15733.486129340039,-1.1411604151129722,PPO
0.06670999526977539,0.02054286003112793,-23.73,175.79000000000002,-0.06117147561399749,-9440.149450664325,-1.331684686988592,PPO
0.08933687210083008,0.022626876831054688,-24.6,174.91000000000003,-0.30513347091895315,-5664.361186393175,-1.4296163570135831,PPO
0.11282896995544434,0.023492097854614258,-26.36,173.14999999999998,-0.7061120403646518,-3399.139743793718,-1.4845256304368375,PPO
0.13324499130249023,0.0204160213470459,-28.65,171.22000000000003,-1.2067392869143632,-2040.143815307236,-1.5167420702986418,PPO
0.15666580200195312,0.02342081069946289,-31.64,168.57999999999998,-1.6153081027282927,-1224.8732250909404,-1.5309289106633512,PPO
0.18152594566345215,0.024860143661499023,-35.5,165.76999999999998,-2.053164263273607,-735.7130495930614,-1.493579712952487,PPO
0.20633292198181152,0.024806976318359375,-39.55,163.48000000000002,-2.3716720442387724,-442.0722942702983,-1.3993780361837707,PPO
0.22738885879516602,0.021055936813354492,-43.06,162.07999999999998,-2.58678059324104,-265.7075612668448,-1.3169359528634232,PPO
0.250349760055542,0.022960901260375977,-46.75,161.37,-2.6740216916306476,-159.6404139601982,-1.2702596705959879,PPO
0.27477192878723145,0.024422168731689453,-50.62,161.89999999999998,-2.710690558045844,-95.63274266608644,-1.229616802027158,PPO
0.2983570098876953,0.023585081100463867,-53.96,163.48000000000002,-2.6150731699326206,-56.91195668963207,-1.1038493032705445,PPO
0.3193628787994385,0.021005868911743164,-56.95,165.76999999999998,-2.562772747053081,-33.386090717704285,-0.6866977324312756,PPO
0.3412308692932129,0.021867990493774414,-59.76,168.75,-2.4347511423022863,-19.080294739401957,0.32930319953829895,PPO
0.3646848201751709,0.023453950881958008,-62.4,172.8,-2.24667465993561,-10.242651428131829,1.9109207543177946,PPO
0.38582682609558105,0.021142005920410156,-64.33,177.19,-1.9853114865431079,-4.695965793846018,4.17042023700692,PPO
0.40664076805114746,0.020813941955566406,-65.03,-177.54,-1.4259776834067275,-1.0499402318731241,6.420683036060222,PPO
0.430189847946167,0.02354907989501953,-63.45,-169.28,-0.38718270968880564,1.8187803019737379,7.20088130722994,PPO
0.4546329975128174,0.02444314956665039,-58.35,-158.21,1.2243241293253173,4.253020273220373,6.144403942875835,PPO
0.47510576248168945,0.02047276496887207,-51.67,-148.01,3.0125084615731814,6.030064055635149,4.351581363108144,PPO
0.49561095237731934,0.020505189895629883,-44.12,-138.17000000000002,4.378022281540111,6.968222445728983,2.787622856212847,PPO
0.5194578170776367,0.023846864700317383,-34.98,-128.68,5.3026048515697255,6.959189612985234,1.5607640828257763,PPO
0.5397589206695557,0.020301103591918945,-27.42,-122.7,5.781360323005563,6.231967276275416,0.6295402308586222,PPO
0.5604867935180664,0.020727872848510742,-20.03,-118.83,5.957828600720875,5.042627999699057,-0.16405506033286538,PPO
0.5811018943786621,0.020615100860595703,-13.18,-117.43,5.89445401382018,3.4996876895629017,-0.977280771228597,PPO
0.60565185546875,0.02454996109008789,-5.62,-119.36,5.686523334191053,1.550975009639199,-1.9304375526770579,PPO
0.6279008388519287,0.02224898338317871,0.35000000000000003,-124.46000000000001,5.285188919185096,-0.6697001006183884,-2.600642913454007,PPO
0.6525089740753174,0.024608135223388672,5.44,-134.13,4.615144085576213,-3.1451947555399973,-2.687690344389891,PPO
0.6730220317840576,0.020513057708740234,7.55,-146.07999999999998,3.4871938683865187,-5.9541233147635495,-2.4678357019705652,PPO
0.6932508945465088,0.020228862762451172,6.67,-161.72,1.7886136839057296,-8.970098130509813,-1.8972528673551023,PPO
0.7138199806213379,0.0205690860748291,1.58,177.37,-0.6544196582342279,-12.47908487672611,-0.7950504671703548,PPO
0.7363948822021484,0.022574901580810547,-5.09,152.93,-2.455357772927653,-15.045551990804052,0.281468691867055,PPO
0.756680965423584,0.020286083221435547,-8.61,134.3,-2.6845986258470895,-15.438718471114804,0.8504230749813028,PPO
0.7778890132904053,0.02120804786682129,-9.66,118.65999999999997,-1.9564007406541022,-14.41164449112706,0.9151339417798969,PPO
0.8006589412689209,0.022769927978515625,-8.96,106.18,-0.9592186893216884,-12.473385985080863,0.6031387428990828,PPO
0.8210098743438721,0.020350933074951172,-7.2,98.26999999999998,0.02823068217792879,-10.19752965670088,0.03957018755633768,PPO
0.8419678211212158,0.02095794677734375,-4.92,93.34000000000003,0.7764308799812005,-7.760753706487617,-0.5424747889103535,PPO
0.8623960018157959,0.020428180694580078,-2.63,91.24000000000001,1.2484644872413582,-5.374125810980149,-0.9899329068691554,PPO
0.8839099407196045,0.021513938903808594,-0.17,92.11000000000001,1.5473537044851484,-2.942158714001875,-1.2231205196396022,PPO
0.9084470272064209,0.024537086486816406,2.1,97.20999999999998,1.574274950387929,-0.31423799877387415,-0.7349649586387231,PPO
0.9326498508453369,0.024202823638916016,4.57,106.0,1.657037748903812,2.3469372511480553,0.0430956732179843,PPO
0.956657886505127,0.02400803565979004,7.73,119.00999999999999,1.9131217237116753,5.1913512613045745,0.6214425718260865,PPO
0.9802041053771973,0.023546218872070312,12.83,135.88,2.6599933850200306,8.116667681856928,0.7621718185878327,PPO
1.0018749237060547,0.021670818328857422,20.74,155.92000000000002,4.144225483868685,11.325944760220057,0.4568074481058384,PPO
1.0222117900848389,0.02033686637878418,31.46,178.25,6.166537751447235,14.461094370772337,-0.12735132493733042,PPO
1.0435447692871094,0.021332979202270508,41.66,-159.44,7.037920255712471,15.977708246392083,-0.6703702088105612,PPO
1.0638227462768555,0.020277976989746094,47.63,-142.56,6.278108196029763,15.398083909162962,-0.9927310047501292,PPO
1.0874378681182861,0.023615121841430664,50.8,-127.8,4.704009136643717,13.602335731245958,-1.069565707343517,PPO
1.1106748580932617,0.023236989974975586,51.5,-118.13,3.0327133536532145,11.0666544659186,-0.8913160502402475,PPO
1.1339037418365479,0.023228883743286133,50.62,-112.33,1.5551487098321783,8.383151717831325,-0.42977955115280997,PPO
1.156709909439087,0.022806167602539062,48.86,-110.4,0.3943262847433313,5.620693574125513,0.26805518978614384,PPO
1.1774647235870361,0.02075481414794922,46.75,-111.8,-0.4731469800081536,2.9014967837189936,1.1006450599122979,PPO
1.202272891998291,0.024808168411254883,43.24,-117.6,-1.2716444097372186,0.10870830212669769,2.090145114346789,PPO
1.2229597568511963,0.020686864852905273,39.72,-125.50999999999999,-1.9509015881410414,-2.6042088805372794,2.6011114554029935,PPO
1.246626853942871,0.023667097091674805,34.45,-137.99,-2.725084819820563,-5.24387399233765,2.8229838588050122,PPO
1.2710819244384766,0.02445507049560547,27.07,-155.04,-3.7418581296032674,-8.013677160032849,2.9966878284122105,PPO
1.292829990386963,0.021748065948486328,18.63,-172.97,-4.954427774223431,-10.563891157815227,3.178401874954778,PPO
1.3135287761688232,0.02069878578186035,10.89,169.81,-5.583215284310638,-12.146321701478907,3.298790609566012,PPO
1.3350920677185059,0.021563291549682617,5.8,155.22000000000003,-4.997864203544168,-12.011441769581648,3.295381861789842,PPO
1.356677770614624,0.021585702896118164,4.39,145.38,-3.454745227794642,-10.389349305560714,3.116115447811196,PPO
1.3807051181793213,0.024027347564697266,6.15,139.22000000000003,-1.5614665982734028,-8.02344146774825,2.6539474948902475,PPO
1.4008169174194336,0.020111799240112305,9.49,137.47000000000003,0.2225189853202706,-5.4215343873847495,1.7570609144697362,PPO
1.4235289096832275,0.022711992263793945,15.29,139.05,1.9163421607683617,-2.767252940029064,0.22656959853220848,PPO
1.4448208808898926,0.02129197120666504,22.14,143.44,3.3958172340346913,-0.22093681424394251,-1.1815863104579405,PPO
1.466080904006958,0.02126002311706543,30.23,150.12,4.69406574880788,2.061000795016745,-1.966776941811917,PPO
1.4907326698303223,0.024651765823364258,40.42,159.61,5.7022213774849675,3.9241441962073313,-2.230150818127333,PPO
1.5116219520568848,0.0208892822265625,48.69,167.88,6.185213893814433,5.118367585047842,-2.2949896153300697,PPO
1.5349760055541992,0.023354053497314453,56.07,175.79000000000002,5.917260112290512,5.435587264873522,-2.3180652646466937,PPO
1.556696891784668,0.02172088623046875,60.64,-179.65,5.019201232711186,4.726983421054537,-2.3606371893607,PPO
1.5794780254364014,0.0227811336517334,62.57,-177.72,3.60297250982301,3.4276418228290244,-2.3602314836841036,PPO
1.601853847503662,0.022375822067260742,61.87,-178.95,1.9433816125066354,1.6728217667456842,-2.1489759985139574,PPO
1.622251033782959,0.020397186279296875,58.88,177.54000000000002,0.14264576317254085,-0.19766983199382637,-0.8427302779520852,PPO
1.6432878971099854,0.021036863327026367,53.96,171.74,-1.54716924851672,-2.0433963905047214,1.2005971818285532,PPO
1.6641359329223633,0.02084803581237793,48.16,165.42000000000002,-2.8705295369489487,-3.3423966072583373,2.69353391672757,PPO
1.6887729167938232,0.02463698387145996,42.18,159.26,-3.416854517968732,-3.7509808844426478,3.6412881232578886,PPO
1.7092130184173584,0.020440101623535156,39.02,156.8,-3.129410756922403,-3.0908015665855997,4.257533149782784,PPO
1.7317850589752197,0.022572040557861328,38.14,157.86,-2.1498220667779013,-1.52663304292644,4.644350352319066,PPO
1.7531547546386719,0.02136969566345215,40.42,162.95,-0.5450345846666406,0.7468844531855721,4.083010823742541,PPO
