time,dt,theta,alpha,th_dot,al_dot,voltage,mode
4.1961669921875e-05,4.1961669921875e-05,-21.62,1.05,0.0,-29947.26053027792,-1.0,SAC
0.021891117095947266,0.02184915542602539,-21.62,1.05,0.0,-17968.356318166752,-1.9,SAC
0.045912981033325195,0.02402186393737793,-22.14,0.7000000000000001,-0.1511241947590708,-10781.115509108062,-2.71,SAC
0.06924700736999512,0.023334026336669922,-23.55,-0.7000000000000001,-0.512533001080195,-6469.088172044918,-3.439,SAC
0.09121513366699219,0.02196812629699707,-26.54,-3.69,-1.257720904358339,-3882.403104330661,-4.0951,SAC
0.1125638484954834,0.02134871482849121,-31.28,-8.08,-2.3046763220021296,-2330.8774516683347,-4.68559,SAC
0.137315034866333,0.02475118637084961,-38.84,-15.11,-3.515178593014544,-1400.509352056912,-5.217031,SAC
0.15761303901672363,0.020298004150390625,-46.75,-21.79,-4.829680918822655,-842.6031374967176,-5.6953279000000006,SAC
0.18158316612243652,0.02397012710571289,-57.65,-30.05,-6.0724415038579735,-507.96761352446924,-6.12579511,SAC
0.20180606842041016,0.020222902297973633,-67.5,-37.26,-7.043865671469814,-307.26959243403263,-6.5132155990000005,SAC
0.22197389602661133,0.020167827606201172,-78.22,-43.94,-7.937166192473903,-186.6741114822922,-6.861894039100001,SAC
0.24283599853515625,0.020862102508544922,-90.0,-50.62,-8.704371916514326,-114.23986946177602,-7.175704635190001,SAC
0.2637748718261719,0.020938873291015625,-102.48,-56.42,-9.383631961062779,-70.47772384891611,-7.458134171671,SAC
0.2875819206237793,0.023807048797607422,-117.94,-62.22,-10.16375920417036,-43.98745993416788,-7.7123207545039,SAC
0.310823917388916,0.02324199676513672,-134.29,-66.79,-11.00938834098911,-27.76519014890961,-7.94108867905351,SAC
0.33303403854370117,0.022210121154785156,-136.58,-64.68,-7.32544969703072,-15.995876874916679,-8.146966364340297,SAC
0.35591793060302734,0.022883892059326172,-132.89,-56.25,-3.2695408691108545,-7.025738850972555,-8.323472463807146,SAC
0.3776400089263916,0.021722078323364258,-130.95,-46.75,-1.3382227186529114,-1.162212832888026,-6.504969135273111,SAC
0.3991279602050781,0.021487951278686523,-130.95,-36.21,-0.8029336311917469,2.727060242595897,-4.919307579411815,SAC
0.4208099842071533,0.021682024002075195,-132.36,-24.6,-0.9357610127841358,5.3744983324667945,-3.4474806575302037,SAC
0.4450817108154297,0.024271726608276367,-135.52,-11.6,-1.4703726523034928,6.963910575501952,-2.1273074437669295,SAC
0.4651939868927002,0.020112276077270508,-137.46,0.7000000000000001,-1.5556309642443882,8.447887936129149,-0.9287944575689475,SAC
0.48686695098876953,0.021672964096069336,-137.46,16.17,-0.9333785785466329,10.051944731884944,0.1631927304975176,SAC
0.5116300582885742,0.024763107299804688,-137.46,32.51,-0.5600271471279797,10.637806810813725,1.145851500050305,SAC
0.5317277908325195,0.020097732543945312,-137.46,44.29,-0.3360162882767878,10.474683727450142,2.028291839852403,SAC
0.5518989562988281,0.020171165466308594,-137.46,54.31,-0.2016097729660727,9.752770307333282,2.8102267549882565,SAC
0.5730061531066895,0.021107196807861328,-137.28,62.4,-0.06142991152245863,8.527472483070277,3.384675499777517,SAC
0.5958199501037598,0.022813796997070312,-136.93,68.2,0.07024658080305837,6.891358520573281,3.138186499757041,SAC
0.6184329986572266,0.022613048553466797,-135.87,71.01,0.3694013044793177,5.00234523531842,2.075234024479213,SAC
