time,dt,theta,alpha,th_dot,al_dot,voltage,mode
2.1457672119140625e-06,2.1457672119140625e-06,-18.1,179.3,-29444.44232878189,291678.9231795908,-0.9474448978900909,PPO
0.02204585075378418,0.022043704986572266,-18.1,179.3,-23555.553863025514,233343.13854367263,-1.4211673468351365,PPO
0.04263806343078613,0.020592212677001953,-18.45,179.13,-18844.502420153236,186674.48201763933,-1.658028571307659,PPO
0.06667804718017578,0.02403998374938965,-19.68,177.72000000000003,-15075.780534827341,149339.38087901092,-1.7764591835439203,PPO
0.0912618637084961,0.024583816528320312,-22.14,175.43,-12060.973723501545,119471.17954588564,-1.8356744896620512,PPO
0.11146020889282227,0.020198345184326172,-24.78,172.8,-9649.235221051105,95576.48912264899,-1.8652821427211166,PPO
0.13245892524719238,0.020998716354370117,-28.3,169.81,-7719.973313461937,76460.69426445528,-1.880085969250649,PPO
0.15349721908569336,0.021038293838500977,-32.16,166.82,-6176.619099178952,61168.05931292585,-1.8874878825154153,PPO
0.17565703392028809,0.022159814834594727,-36.56,164.01,-4941.988376173265,48934.00481350146,-1.8911888391477987,PPO
0.20028901100158691,0.024631977081298828,-41.66,161.89999999999998,-3954.31343457512,39146.90483747312,-1.8930393174639903,PPO
0.22381305694580078,0.023524045944213867,-46.4,160.83999999999997,-3164.154101213653,31317.366579943315,-1.893964556622086,PPO
0.24732112884521484,0.023508071899414062,-51.15,160.83999999999997,-2532.0285973390573,25053.893263954655,-1.8944271762011338,PPO
0.26799893379211426,0.020677804946899414,-55.19,161.72000000000003,-2026.3048777446527,20043.263165591594,-1.8946584263860131,PPO
0.29263901710510254,0.02464008331298828,-60.11,164.01,-1621.7408982091476,16034.934947284402,-1.894773842862196,PPO
0.3137340545654297,0.02109503746032715,-64.33,166.64999999999998,-1298.0910145013518,12828.384806468719,-1.8948265145078038,PPO
0.3338620662689209,0.02012801170349121,-68.55,169.63,-1039.2046563110225,10263.224645467779,-1.8948312436468766,PPO
0.3548710346221924,0.021008968353271484,-72.77,173.14999999999998,-832.0648817471924,8211.164567459122,-1.8948100047770822,PPO
0.37944507598876953,0.02457404136657715,-78.22,177.19,-666.4260592523419,6569.505522145745,-1.8946481683583898,PPO
0.40233397483825684,0.022888898849487305,-83.67,-179.48,-533.9719965529025,5201.210662175774,-1.8943605412409623,PPO
0.42252111434936523,0.0201871395111084,-88.76,-176.84,-428.05773440962724,4161.425025245862,-1.89448435253729,PPO
0.44623517990112305,0.023714065551757812,-95.27,-174.56,-343.404445267665,3329.4756312023915,-1.89322452518756,PPO
0.4669361114501953,0.020700931549072266,-101.25,-172.97,-275.73192329193085,2663.848615940793,-1.8893240748515467,PPO
0.4915781021118164,0.024641990661621094,-108.63,-172.09,-221.6309517299614,2131.203549056814,-1.8879733830030132,PPO
0.5121731758117676,0.020595073699951172,-115.13,-172.09,-178.40644621435553,1704.9628392454515,-1.8853007152346455,PPO
0.5323021411895752,0.020128965377807617,-121.64,-172.45,-143.85408667226378,1363.9078421041525,-0.3452775318885326,PPO
0.5553619861602783,0.023059844970703125,-128.84,-173.15,-116.17316136703538,1091.0203119582586,-2.230233124042411,PPO
