time,dt,theta,alpha,th_dot,al_dot,voltage,mode
0.0,0.02,18.45,-0.7000000000000001,0.0012271846303085752,-0.0005454153912420877,0.7525207757949829,PPO
0.020480632781982422,0.020480632781982422,18.45,-0.7000000000000001,0.00098174770424686,-0.0004363323129936702,1.4476900970935822,PPO
0.040801048278808594,0.020320415496826172,18.63,-0.52,0.030981252930741728,0.029846788916943836,2.0913638318181036,PPO
0.06130409240722656,0.02050304412841797,19.51,0.17,0.1744194447500982,0.14358498505795414,2.7022737818866966,PPO
0.08254694938659668,0.021242856979370117,21.44,1.9300000000000002,0.4572666158571873,0.40371440628009975,3.2837024981005487,PPO
0.10371994972229004,0.02117300033569336,24.6,5.27,0.8874522431257383,0.8735904171551783,3.8140243754873646,PPO
0.12487292289733887,0.021152973175048828,29.53,9.66,1.5221684135013036,1.4240568149747797,4.271138284223921,PPO
0.14628219604492188,0.021409273147583008,35.85,15.29,2.249499013188508,2.0563692585464617,4.640160663500428,PPO
0.16668033599853516,0.02039813995361328,43.24,21.26,3.0629927010888385,2.6678425182250987,4.9261873762197785,PPO
0.18778038024902344,0.02110004425048828,52.03,27.94,3.9044013370409907,3.2393194684692164,5.144961417747474,PPO
0.20896387100219727,0.021183490753173828,61.69,34.45,4.716628538401973,3.6631824174019165,5.312128869571284,PPO
0.23016071319580078,0.021196842193603516,72.07,40.78,5.4811962170782325,3.9726503730544076,5.43751232891907,PPO
0.2516016960144043,0.021440982818603516,83.14,46.4,6.187874133839477,4.093887744882578,5.527651477944704,PPO
0.2727241516113281,0.021122455596923828,94.74,51.32,6.867552375227101,4.088490285426587,5.5836541888396685,PPO
0.2941911220550537,0.021466970443725586,107.22,55.54,7.5234411808186685,3.956786351373489,5.603997578391296,PPO
0.3148317337036133,0.02064061164855957,119.88,58.71,8.159127825173046,3.700522801228324,5.585796216769549,PPO
0.3361067771911621,0.021275043487548828,133.76,61.17,8.805736751967114,3.3641914420662182,5.524461806512875,PPO
0.35718631744384766,0.021079540252685547,133.76,55.89,7.044589401573692,1.8181002632213388,5.525012580148828,PPO
0.3785727024078369,0.021386384963989258,130.25,45.0,5.06185568825358,-0.32434887173959215,5.6416017199094926,PPO
0.3991231918334961,0.02055048942565918,126.38,33.04,3.392613044830406,-2.289809206142893,5.832376101300662,PPO
0.4196286201477051,0.020505428314208984,122.87,20.03,2.115622258802085,-4.046179620044612,5.963330256822421,PPO
0.4409980773925781,0.021369457244873047,121.11,7.2,1.4053626177277367,-5.3330305780273815,5.9719580667220615,PPO
0.46227169036865234,0.02127361297607422,122.34,-2.81,1.326190270278766,-5.9104687534940155,5.9122973122649,PPO
0.4833354949951172,0.021063804626464844,127.96,-8.08,1.9931178165565162,-5.602280253107879,5.859533995656641,PPO
0.5042862892150879,0.020950794219970703,136.93,-9.84,3.088146844374087,-4.774697259570393,5.829186646866997,PPO
0.5255613327026367,0.021275043487548828,135.17,-19.68,2.182108046153867,-5.4348506119905675,5.751227316676547,PPO
0.5468611717224121,0.02129983901977539,135.7,-15.64,1.8321085429190005,-3.6853110102905036,5.861159092988694,PPO
0.5678665637969971,0.02100539207458496,136.75,-9.84,1.6409539218455542,-1.984279826925467,6.094913679147965,PPO
0.5890476703643799,0.021181106567382812,136.75,-4.74,1.3127631374764435,-0.7473271894016704,6.369078683969801,PPO
0.6100208759307861,0.02097320556640625,136.75,0.52,1.0502105099811547,0.27981855330112937,6.640242784122439,PPO
0.6308071613311768,0.020786285400390625,136.75,5.8,0.8401684079849239,1.1094276662624702,6.875741455520034,PPO
0.6520140171051025,0.02120685577392578,136.75,10.72,0.6721347263879391,1.6976850890177713,7.049619807332867,PPO
0.6729390621185303,0.020925045013427734,136.75,15.11,0.5377077811103513,2.091231697510494,7.149256592492855,PPO
