time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_fraction
1,1811,500.0,9356.6018815,16384,9,,,,,,,,,,,
2,1586,500.0,9502.483548843751,32768,20,0.00075014564,71382.4296875,0.2,149482.68365885416,15,0.00030754240000000003,-1.430602921297153,-0.00037539005279541016,-0.0003606110682691603,1.0186067819595337,0.0016845703125
3,1582,500.0,9437.433679083333,49152,31,0.0012277635,73342.34375,0.2,149964.12887369792,30,0.0003050848,-1.4338637394209703,0.03629875183105469,-0.00023425132106543364,1.0108777284622192,8.544921875e-05
4,1584,500.0,9266.377156139999,65536,41,0.0033041518,72695.8046875,0.2,144889.37854817708,45,0.0003026272,-1.431562467912833,0.08005589246749878,-0.0009895025511165538,1.0095776319503784,0.007478841145833333
5,1582,500.0,9259.119318359999,81920,51,0.0020696307,65152.31640625,0.2,134948.70512695314,60,0.0003001696,-1.439051260302464,0.11585438251495361,-0.0007788766350131481,1.025581955909729,0.008260091145833334
6,1579,500.0,9115.24754329,98304,62,0.0020871845,73338.125,0.2,147196.15725911458,75,0.000297712,-1.4378669766088328,0.13919812440872192,-0.000489232409017859,1.0142472982406616,0.0012288411458333333
7,1575,500.0,9204.927496629998,114688,72,0.001234408,64334.7578125,0.2,128565.50262044271,90,0.00029525440000000003,-1.4448456324636936,0.17476165294647217,-0.00046556392899219643,1.0337389707565308,0.004105631510416667
8,1561,500.0,9222.958299469998,131072,83,0.0027085762,70862.109375,0.2,145076.24436848957,105,0.0002927968,-1.454956461985906,0.1853245496749878,-0.0007660863174047942,1.0366650819778442,0.004353841145833333
9,1549,500.0,9542.77039297,147456,95,0.004002287,72889.71875,0.2,148261.21341145833,120,0.0002903392,-1.4547660718361537,0.20778143405914307,-0.0010718736506532879,1.0327657461166382,0.01092529296875
10,1542,500.0,9780.458705320001,163840,106,0.0033106967,76433.6875,0.2,154935.6693359375,135,0.0002878816,-1.4544861818353334,0.22391390800476074,-0.0009812034307590996,1.0332890748977661,0.008565266927083334
11,1533,500.0,10021.28873239,180224,117,0.0028251088,75033.390625,0.2,157193.0874674479,150,0.000285424,-1.4526993331809839,0.24294805526733398,-0.00082579980128988,1.0334779024124146,0.00333251953125
12,1527,500.0,10211.51114219,196608,128,0.003350716,74373.9296875,0.2,151029.6050455729,165,0.00028296640000000003,-1.450015233705441,0.2755470275878906,-0.0007165610534381509,1.0272430181503296,0.004130045572916667
13,1530,500.0,10215.60424784,212992,139,0.00419297,78611.2578125,0.2,159956.31106770833,180,0.0002805088,-1.4411517456173897,0.27789396047592163,-0.0011286472423914045,1.0162957906723022,0.01102294921875
14,1533,500.0,10421.27502232,229376,149,0.004385585,76818.921875,0.2,154264.78876953124,195,0.0002780512,-1.4348058881858985,0.29463207721710205,-0.001894673614636607,1.0127272605895996,0.02020263671875
15,1535,500.0,10564.508750619998,245760,160,0.0023986218,78189.90625,0.2,164544.1870768229,210,0.0002755936,-1.434410183876753,0.3070758581161499,-0.000707577210960153,1.01500403881073,0.0031453450520833332
16,1538,500.0,10702.230632119998,262144,170,0.0036312887,82952.265625,0.2,174091.5952799479,225,0.000273136,-1.4352916228274504,0.32149678468704224,-0.001404443711726344,1.0124998092651367,0.010648600260416667
17,1540,500.0,10673.986945229999,278528,180,0.0033872705,77677.421875,0.2,162629.13255208332,240,0.00027067840000000003,-1.4329427465796472,0.34325551986694336,-0.0013654904187812159,1.0123027563095093,0.009834798177083333
18,1541,500.0,10824.787289089998,294912,191,0.0021950214,80683.90625,0.2,161688.11354166668,255,0.0002682208,-1.4380955889821052,0.357122540473938,-0.0013582505056547235,1.022634744644165,0.006144205729166667
19,1543,500.0,11080.47146433,311296,201,0.0016575081,86579.46875,0.2,176600.80960286458,270,0.0002657632,-1.4548066608607768,0.36532020568847656,-0.0019912088202545418,1.048935890197754,0.0058553059895833336
20,1543,500.0,11450.6947008,327680,212,0.0002546393,89352.1796875,0.2,182439.71259765624,285,0.0002633056,-1.4654995014270147,0.3752381205558777,-0.00035742822704681507,1.0469216108322144,0.00013834635416666666
21,1544,500.0,11505.604406,344064,222,0.00064147613,92931.1015625,0.2,188501.52242838542,300,0.000260848,-1.4644695254663627,0.3924466371536255,-0.0010779190135508543,1.0496753454208374,0.0009969075520833333
22,1545,500.0,11450.839335400002,360448,233,0.0002340113,87670.5,0.2,176814.75849609374,315,0.0002583904,-1.4717967353761197,0.42345160245895386,-0.0003781577851138233,1.0587338209152222,0.00013427734375
23,1545,500.0,11581.2380905,376832,243,0.00034211308,85244.484375,0.2,175013.64733072917,330,0.0002559328,-1.478186837832133,0.4290701150894165,-0.00023408425367961173,1.0631966590881348,0.0
24,1546,500.0,11573.3108403,393216,254,0.0032166657,90902.890625,0.2,194148.09915364583,345,0.0002534752,-1.481294998526573,0.4240095615386963,-0.0010927296008352036,1.061214566230774,0.006180826822916667
25,1545,500.0,11688.21173881,409600,264,0.005089347,82088.3046875,0.2,170384.26067708334,360,0.0002510176,-1.4731108377377191,0.4407036304473877,-0.0026996690633192583,1.049956202507019,0.029325358072916665
26,1545,500.0,11598.108343940003,425984,275,0.0053478675,87661.5,0.2,177922.19231770834,375,0.00024856,-1.4582195547719796,0.45019006729125977,-0.0021649543622819086,1.0347721576690674,0.023592122395833335
27,1545,500.0,11753.371233339998,442368,286,0.0050453204,86730.3984375,0.2,175280.65895182293,390,0.0002461024,-1.4491960540413857,0.45490002632141113,-0.003118511161301285,1.026360034942627,0.0320556640625
28,1544,500.0,11772.861566900001,458752,296,0.0030546312,92739.71875,0.2,188226.04456380208,405,0.00024364479999999997,-1.4430213148395221,0.47559213638305664,-0.0009122620246974596,1.0217821598052979,0.0050699869791666664
29,1544,500.0,11851.93035374,475136,307,0.0057135858,84168.046875,0.2,175528.13147786458,420,0.00024118719999999998,-1.432332774500052,0.48788362741470337,-0.0030481986546268065,1.0077353715896606,0.0382568359375
30,1545,500.0,12041.708980460002,491520,318,0.0049580317,90574.453125,0.2,190783.69368489584,435,0.00023872959999999999,-1.420281400779883,0.48879241943359375,-0.002202934329640508,0.994447648525238,0.02520751953125
31,1545,500.0,12285.141841499999,507904,328,0.0046711126,100366.8671875,0.2,199391.63017578126,450,0.000236272,-1.4124749203523,0.49696844816207886,-0.003191062176241151,0.9920948147773743,0.02332763671875
32,1546,500.0,12490.135594160003,524288,339,0.0058177775,96395.2578125,0.2,191195.48662109376,465,0.0002338144,-1.401677028586467,0.5092871785163879,-0.0027244406366662586,0.9760225415229797,0.036515299479166666
33,1546,500.0,12552.507006369999,540672,349,0.005332602,95013.375,0.2,193112.45042317707,480,0.0002313568,-1.3888279519975186,0.5242384672164917,-0.0027432055649114773,0.9650802612304688,0.0340087890625
34,1546,500.0,12714.290963200003,557056,360,0.0040728124,94886.9765625,0.2,199692.45794270834,495,0.00022889919999999998,-1.3799404785037042,0.5239914059638977,-0.0016578114169533364,0.9584357738494873,0.015087890625
35,1546,500.0,12777.968116790003,573440,370,0.0031537605,100942.0625,0.2,205572.08388671876,510,0.00022644159999999998,-1.3776544883847237,0.5340782403945923,-0.0015260231763628933,0.9591020345687866,0.0074503580729166664
36,1547,500.0,12894.361535159996,589824,381,0.0041245865,100980.1484375,0.2,198873.2244466146,525,0.000223984,-1.3768754400312901,0.5522012114524841,-0.00280082458605951,0.9582749605178833,0.02412109375
37,1547,500.0,12803.78350065,606208,391,0.0049006436,97324.4140625,0.2,198961.48404947916,540,0.00022152639999999997,-1.3735455043613911,0.5436440706253052,-0.0028321818558955177,0.9528465270996094,0.032421875
38,1548,500.0,12918.177109319999,622592,402,0.0042973,100210.34375,0.2,200552.92981770833,555,0.00021906879999999997,-1.3680201128125191,0.5613133907318115,-0.0023792419701446003,0.9495487213134766,0.023286946614583335
39,1548,500.0,13049.6787114,638976,412,0.0039316043,106035.7109375,0.2,202879.61097005208,570,0.00021661119999999998,-1.3655292722086112,0.5622460842132568,-0.0019034988770727068,0.9459255337715149,0.019169108072916666
40,1548,500.0,13197.33823925,655360,423,0.0045247977,100365.203125,0.2,206954.9467122396,585,0.00021415359999999998,-1.3595050918559233,0.5689774751663208,-0.002001182182721095,0.938568651676178,0.021736653645833333
