time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
712,246,8361.564081839999,176000,500.0,348,20700,-847.3310083007813,759.3144409179688,0.0003,,
712,246,8361.564081839999,176000,500.0,352,,,,,,
713,252,8536.192975330001,180000,500.0,356,21200,-864.6343139648437,684.5854037475586,0.0003,,
713,252,8536.192975330001,180000,500.0,360,,,,,,
713,258,8597.9342619,184000,500.0,364,21700,-880.834609375,882.7522341918946,0.0003,,
713,258,8597.9342619,184000,500.0,368,,,,,,
713,263,8702.68064394,188000,500.0,372,22200,-905.1332861328125,626.1693380737305,0.0003,,
713,263,8702.68064394,188000,500.0,376,,,,,,
713,269,8817.52732053,192000,500.0,380,22700,-923.6993701171875,619.0087007141113,0.0003,,
713,269,8817.52732053,192000,500.0,384,,,,,,
713,274,8933.24393531,196000,500.0,388,23200,-948.8508618164062,470.6955822753906,0.0003,,
713,274,8933.24393531,196000,500.0,392,,,,,,
712,280,9034.5397001,200000,500.0,396,23700,-966.331171875,558.9428750610351,0.0003,,
712,280,9034.5397001,200000,500.0,400,,,,,,
713,285,9183.430683600001,204000,500.0,404,24200,-986.3533618164063,592.3311764526367,0.0003,,
713,285,9183.430683600001,204000,500.0,408,,,,,,
713,291,9261.186450879999,208000,500.0,412,24700,-997.5441284179688,499.2928778076172,0.0003,,
713,291,9261.186450879999,208000,500.0,416,,,,,,
713,296,9462.88505969,212000,500.0,420,25200,-1020.7563427734375,572.059010925293,0.0003,,
713,296,9462.88505969,212000,500.0,424,,,,,,
713,302,9509.12511403,216000,500.0,428,25700,-1045.4896728515625,646.5819645690918,0.0003,,
713,302,9509.12511403,216000,500.0,432,,,,,,
714,307,9751.783272140001,220000,500.0,436,26200,-1058.7603540039063,626.573438873291,0.0003,,
714,308,9751.783272140001,220000,500.0,440,,,,,,
713,313,9997.75727098,224000,500.0,444,26700,-1083.9045458984374,604.6870758056641,0.0003,,
713,313,9997.75727098,224000,500.0,448,,,,,,
714,319,10274.363641709999,228000,500.0,452,27200,-1100.4367626953126,470.56853225708005,0.0003,,
714,319,10274.363641709999,228000,500.0,456,,,,,,
714,324,10579.07087452,232000,500.0,460,27700,-1115.393203125,658.8742966461182,0.0003,,
714,324,10579.07087452,232000,500.0,464,,,,,,
714,330,10924.787515550002,236000,500.0,468,28200,-1136.83052734375,485.10368118286135,0.0003,,
714,330,10924.787515550002,236000,500.0,472,,,,,,
,,,240000,,,28700,-1158.7884716796875,553.5468743896485,0.0003,500.0,13107.9265328
708,338,11218.016776500002,240000,500.0,476,,,,,,
708,338,11218.016776500002,240000,500.0,480,,,,,,
708,344,11501.412494589998,244000,500.0,484,29200,-1174.4727099609374,548.4056010437012,0.0003,,
708,344,11501.412494589998,244000,500.0,488,,,,,,
709,349,11770.48183593,248000,500.0,492,29700,-1186.6338671875,549.987177734375,0.0003,,
709,349,11770.48183593,248000,500.0,496,,,,,,
709,355,12104.09456463,252000,500.0,500,30200,-1214.8528173828124,409.8556829833984,0.0003,,
709,355,12104.09456463,252000,500.0,504,,,,,,
709,360,12327.834793940001,256000,500.0,508,30700,-1232.922119140625,506.19668731689455,0.0003,,
709,360,12327.834793940001,256000,500.0,512,,,,,,
709,366,12537.022618419998,260000,500.0,516,31200,-1247.66009765625,533.7973254394532,0.0003,,
709,366,12537.022618419998,260000,500.0,520,,,,,,
710,371,12710.54962964,264000,500.0,524,31700,-1273.707138671875,499.70275390625,0.0003,,
710,371,12710.54962964,264000,500.0,528,,,,,,
710,377,12798.514821710001,268000,500.0,532,32200,-1287.823974609375,476.9808605957031,0.0003,,
710,377,12798.514821710001,268000,500.0,536,,,,,,
710,382,12824.767812900003,272000,500.0,540,32700,-1306.8664208984376,488.2765981292725,0.0003,,
710,382,12824.767812900003,272000,500.0,544,,,,,,
710,388,12884.642954579998,276000,500.0,548,33200,-1320.115634765625,576.9888911437988,0.0003,,
710,388,12884.642954579998,276000,500.0,552,,,,,,
710,393,12914.358117489995,280000,500.0,556,33700,-1336.5173193359376,446.59772735595703,0.0003,,
710,393,12914.358117489995,280000,500.0,560,,,,,,
710,399,12927.680027890001,284000,500.0,564,34200,-1362.6775244140624,413.00657836914064,0.0003,,
710,399,12927.680027890001,284000,500.0,568,,,,,,
711,405,12920.946911750001,288000,500.0,572,34700,-1381.60708984375,342.4917317199707,0.0003,,
711,405,12920.946911750001,288000,500.0,576,,,,,,
711,410,12924.840006479999,292000,500.0,580,35200,-1404.640185546875,309.3878472900391,0.0003,,
711,410,12924.840006479999,292000,500.0,584,,,,,,
711,416,12945.21124015,296000,500.0,588,35700,-1415.7630078125,481.449588470459,0.0003,,
711,416,12945.21124015,296000,500.0,592,,,,,,
711,421,12950.6006342,300000,500.0,596,36200,-1439.920908203125,359.05818634033204,0.0003,,
711,421,12950.6006342,300000,500.0,600,,,,,,
711,427,12970.576681180006,304000,500.0,604,36700,-1462.634072265625,261.74682678222655,0.0003,,
711,427,12970.576681180006,304000,500.0,608,,,,,,
711,432,12971.446233090002,308000,500.0,612,37200,-1484.8882177734374,199.6154467010498,0.0003,,
711,432,12971.446233090002,308000,500.0,616,,,,,,
711,438,12975.23258924,312000,500.0,620,37700,-1510.5581640625,84.29458122253418,0.0003,,
711,438,12975.23258924,312000,500.0,624,,,,,,
712,443,12979.231564810001,316000,500.0,628,38200,-1530.4337841796876,73.5465933227539,0.0003,,
712,443,12979.231564810001,316000,500.0,632,,,,,,
,,,320000,,,38700,-1542.54431640625,75.54671920776367,0.0003,500.0,13208.815112600001
707,452,12988.133703419999,320000,500.0,636,,,,,,
707,452,12988.133703419999,320000,500.0,640,,,,,,
708,457,12999.979024540002,324000,500.0,644,39200,-1559.7114306640624,88.34691726684571,0.0003,,
708,457,12999.979024540002,324000,500.0,648,,,,,,
708,463,13006.884410410003,328000,500.0,652,39700,-1580.7357861328126,84.97165672302246,0.0003,,
708,463,13006.884410410003,328000,500.0,656,,,,,,
708,468,13020.9454611,332000,500.0,660,40200,-1596.16181640625,88.98137428283691,0.0003,,
708,468,13020.9454611,332000,500.0,664,,,,,,
708,474,13026.41514776,336000,500.0,668,40700,-1610.7754541015624,70.93821781158448,0.0003,,
708,474,13026.41514776,336000,500.0,672,,,,,,
708,479,13052.47279206,340000,500.0,676,41200,-1635.715537109375,58.81497528076172,0.0003,,
708,479,13052.47279206,340000,500.0,680,,,,,,
708,485,13061.041028479998,344000,500.0,684,41700,-1640.5217578125,63.51687133789063,0.0003,,
708,485,13061.041028479998,344000,500.0,688,,,,,,
