time/fps,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
69,545,-1364.820556640625,38000,1.2883780002593994,0.0003,76,1197.7667236328125,-683.8060406578944,500.0,0.005250253714621067,36999,,
,,-1277.1134033203125,40000,1.3422356843948364,0.0003,,2739.19677734375,,,0.05303597450256348,38999,500.0,9580.870140800002
68,585,,40000,,,80,,-180.9778803749996,500.0,,,,
67,620,-1295.781005859375,42000,1.4630995988845825,0.0003,84,1340.879638671875,232.58893980952422,500.0,0.015224105678498745,40999,,
66,659,-1179.757568359375,44000,1.4924376010894775,0.0003,88,3958.2568359375,608.0826025000007,500.0,-0.028229806572198868,42999,,
65,701,-1301.95947265625,46000,1.4656851291656494,0.0003,92,3531.43408203125,933.0117278152181,500.0,0.008091718889772892,44999,,
65,736,-1510.412353515625,48000,1.4393901824951172,0.0003,96,1550.36865234375,1261.6349128958338,500.0,-0.032098714262247086,46999,,
,,-1272.1865234375,50000,1.439418077468872,0.0003,,2592.869873046875,,,-0.017936749383807182,48999,500.0,11647.1492306
64,779,,50000,,,100,,1688.0544621800007,500.0,,,,
64,810,-1525.0556640625,52000,1.4520771503448486,0.0003,104,6231.767578125,5941.02987139,500.0,-0.06469202041625977,50999,,
64,838,-1620.366943359375,54000,1.4809952974319458,0.0003,108,2704.38916015625,6053.328340669999,500.0,0.0734286829829216,52999,,
64,865,-1388.1705322265625,56000,1.4898951053619385,0.0003,112,1765.6363525390625,6710.727841159999,500.0,-0.06991978734731674,54999,,
64,899,-1712.337890625,58000,1.518851637840271,0.0003,116,927.667724609375,7414.069421089999,500.0,-0.053409937769174576,56999,,
,,-1733.79052734375,60000,1.4952938556671143,0.0003,,4427.71533203125,,,-0.01498499047011137,58999,500.0,12134.448236200002
64,934,,60000,,,120,,7855.137267510002,500.0,,,,
63,972,-1779.26416015625,62000,1.4039713144302368,0.0003,124,2307.69384765625,8110.82262004,500.0,0.009326551109552383,60999,,
63,1007,-1664.68408203125,64000,1.4192190170288086,0.0003,128,1829.897705078125,8666.47157985,500.0,-0.0029208925552666187,62999,,
63,1037,-1721.747802734375,66000,1.4263973236083984,0.0003,132,2206.30078125,8794.744334230001,500.0,0.05786644294857979,64999,,
63,1072,-1785.3975830078125,68000,1.3842339515686035,0.0003,136,1148.71044921875,9286.905112169998,500.0,0.046497851610183716,66999,,
,,-1755.9683837890625,70000,1.2932243347167969,0.0003,,3418.744873046875,,,0.020714160054922104,68999,500.0,10659.602053799998
63,1106,,70000,,,140,,9456.97250403,500.0,,,,
63,1142,-1758.635986328125,72000,1.342254877090454,0.0003,144,2105.46142578125,9563.272338679999,500.0,-0.028361881151795387,70999,,
62,1176,-1915.240234375,74000,1.340304970741272,0.0003,148,2358.629638671875,9725.33352962,500.0,0.02797471359372139,72999,,
62,1208,-1823.63916015625,76000,1.2861003875732422,0.0003,152,3040.75,9908.2117903,500.0,-0.014706295914947987,74999,,
63,1236,-1907.06787109375,78000,1.2099055051803589,0.0003,156,1244.50341796875,10227.759115769999,500.0,0.00870034471154213,76999,,
,,-1996.837158203125,80000,1.185824990272522,0.0003,,1004.5617065429688,,,0.0031447927467525005,78999,500.0,10946.628841200001
62,1272,,80000,,,160,,10209.21639882,500.0,,,,
62,1303,-1976.8624267578125,82000,1.1750127077102661,0.0003,164,810.6453247070312,10311.26920223,500.0,0.008541068993508816,80999,,
