rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
9500.044847049998,500.0,132,500,135,68000,0.0003,7200,-586.0191235351563,-0.05636120455339551,1440.2761572265624,0.4172824507951736,,
9500.044847049998,500.0,136,500,135,68000,,,,,,,,
10001.33012985,500.0,140,496,144,72000,0.0003,7700,-630.0204833984375,0.01068597573786974,1249.5156372070312,0.39669745922088623,,
10001.33012985,500.0,144,496,144,72000,,,,,,,,
10254.84771135,500.0,148,494,153,76000,0.0003,8200,-677.1006579589844,0.02320751553401351,1199.6658520507813,0.40270000040531156,,
10254.84771135,500.0,152,494,153,76000,,,,,,,,
,,,,,80000,0.0003,8700,-722.4801342773437,0.01707009918987751,1170.964896850586,0.41331331491470336,500.0,9467.369741400002
10433.76126628,500.0,156,478,167,80000,,,,,,,,
10433.76126628,500.0,160,478,167,80000,,,,,,,,
10656.34089585,500.0,164,476,176,84000,0.0003,9200,-757.8120227050781,0.04426110433414578,1138.7968017578125,0.4353731006383896,,
10656.34089585,500.0,168,476,176,84000,,,,,,,,
10799.47901485,500.0,172,475,185,88000,0.0003,9700,-800.6691015625,0.05733759829774499,1080.6586206054687,0.46732218742370607,,
10799.47901485,500.0,176,475,185,88000,,,,,,,,
10656.255105089997,500.0,180,473,194,92000,0.0003,10200,-840.6552111816407,0.02905474473722279,1059.1842102050782,0.5016849160194397,,
10656.255105089997,500.0,184,473,194,92000,,,,,,,,
10308.76986076,500.0,188,472,203,96000,0.0003,10700,-878.5690051269531,0.017913712216541172,989.2026287841796,0.5324580359458924,,
10308.76986076,500.0,192,472,203,96000,,,,,,,,
10191.232949309999,500.0,196,471,212,100000,0.0003,11200,-919.5860473632813,-0.01633393065072596,827.6811798095703,0.5463659906387329,,
10191.232949309999,500.0,200,471,212,100000,,,,,,,,
10136.471737349999,500.0,204,469,221,104000,0.0003,11700,-950.3400134277343,0.005256395675241947,838.791826171875,0.5684148859977722,,
10136.471737349999,500.0,208,469,221,104000,,,,,,,,
10195.500936809998,500.0,212,468,230,108000,0.0003,12200,-983.933994140625,0.010480648670345545,891.3106777954101,0.5711935985088349,,
10195.500936809998,500.0,216,468,230,108000,,,,,,,,
10185.566928569999,500.0,220,468,239,112000,0.0003,12700,-1015.5395495605469,-0.022162263225764037,879.9466220092773,0.5622106122970582,,
10185.566928569999,500.0,224,468,239,112000,,,,,,,,
10218.657871689999,500.0,228,467,248,116000,0.0003,13200,-1046.4509155273438,-0.0027493952587246896,815.0134436035156,0.5599334537982941,,
10218.657871689999,500.0,232,467,248,116000,,,,,,,,
10080.50383561,500.0,236,466,257,120000,0.0003,13700,-1073.55431640625,0.006162242898717522,736.5671731567382,0.5586130702495575,,
10080.50383561,500.0,240,466,257,120000,,,,,,,,
10047.626098240002,500.0,244,465,266,124000,0.0003,14200,-1105.5021337890626,0.0023435503616929055,745.2657363891601,0.5587453365325927,,
10047.626098240002,500.0,248,465,266,124000,,,,,,,,
